,score,text
0,-2,"Shocked and sorrowed by the heartbreaking news from Texas. Prayers for all those touched by violence today: victims, survivors, worshippers."
1,3,"To all my incredibly talented coworkers, congratulations on the launch of iPhone X! Thanks @WALKTHEMOONband for cel°≠ https://t.co/HAATe3QfSz"
2,0,"iPhone X is here! A big thank-you to all our customers in Sydney, and everyone turning out around the world Friday!°≠ https://t.co/CeWBakmWDg"
3,0,Gotta wait til Friday! Meet me at the Apple Store at 8 a.m. °™ we°Øll let you open the doors! #iPhone https://t.co/r9hFywLn3z
4,2,"Tonight our hearts are with the victims, their families and all the people of New York. Stay safe and stay strong."
5,2,"""If you love the life you live, live it every day.°± Fats Domino inspired generations. His music & legacy will live on forever. Rest in peace"
6,2,"Thanks @ChicagosMayor for a great conversation about education, diversity and Apple°Øs strong ties with Chicago. https://t.co/nqjiCf6edh"
7,1,"My kind of town, Chicago is ? My kind of people, too. Thank you, Chicago, for welcoming us to the Riverwalk! https://t.co/6WhORpMdR5"
8,4,"Happy #Diwali! May the festival of lights spread love, peace & prosperity to all!  #ShotoniPhone by @prashvish https://t.co/Ax8NLXPzzM"
9,1,"To our friends, coworkers and all those in the path of #Ophelia - please stay safe. ?? ??"
10,3,Enjoyed talking with the bright students from the Osservatorio program in Firenze today. Great questions- Grazie e°≠ https://t.co/l9b5HJUOMw
11,2,Thanks to the many talented iOS app developers who previewed AR features for me this week. Hearing great ideas acro°≠ https://t.co/RC88Hdjpf7
12,3,"A visit to the breathtaking forests of northern Sweden with @IggesundAB, our partners in innovation and sustainable°≠ https://t.co/eH4LgH6XCt"
13,2,Robot dance party! ? Thanks to these talented young coders from @HT_Primary. Great to meet you today at Apple Regen°≠ https://t.co/hjzmqt4mON
14,2,Our thoughts are with our Bay Area friends & neighbors affected by wildfires. Please stay safe! Apple is donating to aid relief efforts.
15,1,Tr®®s impressionn®¶ par l°Øexp®¶rience @CoachGuitar. Congratulations on 6M downloads! We can°Øt wait to see what you do°≠ https://t.co/cXSAHhoOBZ
16,3,"Thrilled to meet this team of entrepreneurs @my_little_paris, whose success is born from creativity and passion. https://t.co/kQ18e3Zghe"
17,2,"At Normandy, honoring those who made the ultimate sacrifice. °∞Think not only upon their passing. Remember the glory°≠ https://t.co/k7EtSphO1a"
18,3,"Thanks to my friends at Eldim, a team of talented engineers and craftspeople helping make iPhone possible. Bravo po°≠ https://t.co/PQVYBCOSUJ"
19,1,Saluting the many #womenintech representing Apple at #GHC17 and helping build the future of our industry. https://t.co/NIC18EL8Oo
20,2,"Remembering Steve today. Still with us, still inspiring us. °∞Make something wonderful, and put it out there.°± https://t.co/7aOCPkwU0U"
21,1,Our condolences to the Otellini family and everyone at Intel. Paul was a great friend of Apple. https://t.co/D8Y8rmYP4x
22,2,"""You can stand me up at the gates of Hell / But I won't back down.°± Rest in peace, #TomPetty. Thank you for your music and inspiration."
23,0,"Our hearts are with the victims in Las Vegas, their families and loved ones who are grieving this morning."
24,1,This is what leadership looks like. https://t.co/oWuHpp8U4b
25,2,Our hearts are with Puerto Rico. La Isla del Encanto?? will rise again. Please join us in supporting relief efforts: https://t.co/QLBMFOjaDG
26,2,"At Apple, we believe privacy is a fundamental human right. Read the latest on our efforts to protect your data: https://t.co/5Nl278U3oy"
27,1,Portrait Lighting on the new iPhone 8 Plus by @oyuelaphoto is amazing. Can°Øt wait to see what our customers do with°≠ https://t.co/ig8EaGgjcl
28,0,The first thing you do with your new #AppleWatchSeries3: Call Mom https://t.co/nS3XUvp2zy https://t.co/qcll0YbZye
29,1,"Mientras hay vida, hay esperanza. Mexico°Øs resilience is its strength. Apple is contributing $1M to recovery efforts. #FuerzaMexico ??"
30,1,"It was great to meet you, Alex! Looking forward to seeing you at WWDC 2018! @TheAbilityApp @TheEllenShow https://t.co/dFHI7WLAHQ"
31,0,Nuestros pensamientos est®¢n con todos los afectados por el terremoto que sufri®Æ M®¶xico hoy. Rezando por nuestros amigos y colegas. ??
32,2,It's a big day at Apple! We are honored and thrilled to host our first keynote at the Steve Jobs Theater this morni°≠ https://t.co/dtB76zXt7K
33,3,Our thoughts and prayers are with those affected by #Irma. Please stay safe! Apple is proud to support #HandInHand. https://t.co/BYJ6qPWh4p
34,3,"Powerful stories, striking portraits! Bravo @TIME and Luisa Dorr #ShotoniPhone #SheIsTheFirst https://t.co/i5hS8IFgE8"
35,0,#Dreamers contribute to our companies and our communities just as much as you and I. Apple will fight for them to be treated as equals.
36,1,250 of my Apple coworkers are #Dreamers. I stand with them. They deserve our respect as equals and a solution rooted in American values.
37,1,Prayers for Texas and all those affected by #HurricaneHarvey. Join us in the relief effort by donating: https://t.co/QLBMFOjaDG
38,3,"Saluting the incredible women at Apple, and around the world, who are leading the way to a better future. #WomensEqualityDay"
39,2,"Thanks to all my friends in Texas, new and old, for another amazing visit! Please stay safe as the storm comes ashore."
